occupation,pct_emp_change_2020_2030
Medical equipment repairers,7.2
Musical instrument repairers and tuners,-3.9
Watch and clock repairers,-24.9
"Precision instrument and equipment repairers, all other",5.6
"Maintenance and repair workers, general",8.1
Wind turbine service technicians,68.2
"Miscellaneous installation, maintenance, and repair workers",6.3
"Coin, vending, and amusement machine servicers and repairers",9.0
Commercial divers,16.8
Locksmiths and safe repairers,-2.3
Manufactured building and mobile home installers,-18.4
Riggers,12.1
Signal and track switch repairers,5.6
"Helpers--installation, maintenance, and repair workers",7.4
"Installation, maintenance, and repair workers, all other",5.9
Production occupations,-0.4
Supervisors of production workers,3.7
First-line supervisors of production and operating workers,3.7
Assemblers and fabricators,-5.0
"Aircraft structure, surfaces, rigging, and systems assemblers",-15.9
"Electrical, electronics, and electromechanical assemblers",6.1
"Coil winders, tapers, and finishers",-12.4
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",6.9
Engine and other machine assemblers,-11.8
Structural metal fabricators and fitters,-11.4
Fiberglass laminators and fabricators,-0.4
Timing device assemblers and adjusters,-17.8
Miscellaneous assemblers and fabricators,-6.7
Food processing workers,3.9
Bakers,9.5
"Butchers and other meat, poultry, and fish processing workers",0.2
Butchers and meat cutters,-5.4
"Meat, poultry, and fish cutters and trimmers",3.3
Slaughterers and meat packers,4.3
Miscellaneous food processing workers,5.1
"Food and tobacco roasting, baking, and drying machine operators and tenders",4.4
Food batchmakers,5.6
Food cooking machine operators and tenders,5.1
"Food processing workers, all other",3.8
Metal workers and plastic workers,2.4
"Forming machine setters, operators, and tenders, metal and plastic",-7.7
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",-7.5
"Forging machine setters, operators, and tenders, metal and plastic",-13.2
"Rolling machine setters, operators, and tenders, metal and plastic",-6.1
"Machine tool cutting setters, operators, and tenders, metal and plastic",-3.9
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",-2.4
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",-15.5
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",-3.3
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",-4.4
"Milling and planing machine setters, operators, and tenders, metal and plastic",-15.1
Machinists,7.9
"Metal furnace operators, tenders, pourers, and casters",0.1
Metal-refining furnace operators and tenders,2.6
"Pourers and casters, metal",-5.1
"Model makers and patternmakers, metal and plastic",-4.2
"Model makers, metal and plastic",-4.9
"Patternmakers, metal and plastic",-3.2
"Molders and molding machine setters, operators, and tenders, metal and plastic",-5.8
Foundry mold and coremakers,-3.3
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",-6.1
"Multiple machine tool setters, operators, and tenders, metal and plastic",8.6
Tool and die makers,1.5
"Welding, soldering, and brazing workers",7.5
"Welders, cutters, solderers, and brazers",8.2
"Welding, soldering, and brazing machine setters, operators, and tenders",-1.0
Miscellaneous metal workers and plastic workers,-3.1
"Heat treating equipment setters, operators, and tenders, metal and plastic",-4.0
"Layout workers, metal and plastic",-6.6
"Plating machine setters, operators, and tenders, metal and plastic",-2.7
"Tool grinders, filers, and sharpeners",-2.4
"Metal workers and plastic workers, all other",-2.0
Printing workers,-12.2
Prepress technicians and workers,-17.1
Printing press operators,-9.9
Print binding and finishing workers,-17.5
"Textile, apparel, and furnishings workers",-3.1
Laundry and dry-cleaning workers,11.8
"Pressers, textile, garment, and related materials",-10.8
Sewing machine operators,-14.0
Shoe and leather workers,-16.8
Shoe and leather workers and repairers,-14.0
Shoe machine operators and tenders,-21.6
"Tailors, dressmakers, and sewers",-7.7
"Sewers, hand",-9.5
"Tailors, dressmakers, and custom sewers",-7.4
"Textile machine setters, operators, and tenders",-12.7
Textile bleaching and dyeing machine operators and tenders,-13.8
"Textile cutting machine setters, operators, and tenders",-11.1
"Textile knitting and weaving machine setters, operators, and tenders",-14.8
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",-11.5
"Miscellaneous textile, apparel, and furnishings workers",-1.1
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",-4.3
Fabric and apparel patternmakers,-9.7
Upholsterers,4.5
"Textile, apparel, and furnishings workers, all other",-6.4
Woodworkers,9.1
Cabinetmakers and bench carpenters,8.8
Furniture finishers,5.8
"Model makers and patternmakers, wood",35.8
"Model makers, wood",38.6
"Patternmakers, wood",24.7
"Woodworking machine setters, operators, and tenders",8.6
"Sawing machine setters, operators, and tenders, wood",6.7
"Woodworking machine setters, operators, and tenders, except sawing",9.8
"Woodworkers, all other",22.2
Plant and system operators,-2.0
"Power plant operators, distributors, and dispatchers",-14.4
Nuclear power reactor operators,-32.9
Power distributors and dispatchers,-7.3
Power plant operators,-13.6
Stationary engineers and boiler operators,5.8
Water and wastewater treatment plant and system operators,-2.5
Miscellaneous plant and system operators,2.3
Chemical plant and system operators,-0.5
Gas plant operators,-1.8
"Petroleum pump system operators, refinery operators, and gaugers",5.6
"Plant and system operators, all other",3.1
Other production occupations,-0.9
"Chemical processing machine setters, operators, and tenders",-1.7
Chemical equipment operators and tenders,-5.3
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",5.0
"Crushing, grinding, polishing, mixing, and blending workers",0.7
"Crushing, grinding, and polishing machine setters, operators, and tenders",-0.4
"Grinding and polishing workers, hand",-13.6
"Mixing and blending machine setters, operators, and tenders",3.9
Cutting workers,-6.9
"Cutters and trimmers, hand",-29.7
"Cutting and slicing machine setters, operators, and tenders",-3.5
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",1.2
"Furnace, kiln, oven, drier, and kettle operators and tenders",4.9
"Inspectors, testers, sorters, samplers, and weighers",-12.2
Jewelers and precious stone and metal workers,-0.8
Dental and ophthalmic laboratory technicians and medical appliance technicians,12.3
Dental laboratory technicians,12.2
Medical appliance technicians,14.4
Ophthalmic laboratory technicians,11.2
Packaging and filling machine operators and tenders,5.4
Painting workers,7.4
"Painting, coating, and decorating workers",6.3
"Coating, painting, and spraying machine setters, operators, and tenders",7.5
Semiconductor processing technicians,-1.7
Photographic process workers and processing machine operators,-8.7
Computer numerically controlled tool operators and programmers,1.9
Computer numerically controlled tool operators,-2.5
Computer numerically controlled tool programmers,27.4
Miscellaneous production workers,1.1
Adhesive bonding machine operators and tenders,0.9
"Cleaning, washing, and metal pickling equipment operators and tenders",6.3
Cooling and freezing equipment operators and tenders,6.0
Etchers and engravers,2.4
"Molders, shapers, and casters, except metal and plastic",15.1
"Paper goods machine setters, operators, and tenders",-7.3
Tire builders,-0.8
Helpers--production workers,-4.5
"Production workers, all other",8.2
Transportation and material moving occupations,8.8
Supervisors of transportation and material moving workers,5.9
Aircraft cargo handling supervisors,11.9
"First-line supervisors of transportation and material-moving workers, except aircraft cargo handling supervisors",5.8
Air transportation workers,19.1
Aircraft pilots and flight engineers,12.9
"Airline pilots, copilots, and flight engineers",13.7
Commercial pilots,11.4
Air traffic controllers and airfield operations specialists,6.5
Air traffic controllers,3.8
Airfield operations specialists,12.9
Flight attendants,30.4
Motor vehicle operators,12.0
"Ambulance drivers and attendants, except emergency medical technicians",16.3
Driver/sales workers and truck drivers,8.9
Driver/sales workers,17.9
Heavy and tractor-trailer truck drivers,6.3
Light truck drivers,9.8
Passenger vehicle drivers,24.7
"Bus drivers, transit and intercity",21.0
"Passenger vehicle drivers, except bus drivers, transit and intercity",25.5
"Motor vehicle operators, all other",10.3
Rail transportation workers,5.4
Locomotive engineers and operators,4.9
Locomotive engineers,5.6
"Rail yard engineers, dinkey operators, and hostlers",0.8
"Railroad brake, signal, and switch operators and locomotive firers",2.0
Railroad conductors and yardmasters,5.5
Subway and streetcar operators,10.2
"Rail transportation workers, all other",2.6
Water transportation workers,11.7
Sailors and marine oilers,10.4
Ship and boat captains and operators,13.6
"Captains, mates, and pilots of water vessels",13.5
Motorboat operators,14.7
Ship engineers,8.2
Other transportation workers,9.9
Bridge and lock tenders,2.8
Parking attendants,14.2
Automotive and watercraft service attendants,4.3
Traffic technicians,7.8
Transportation inspectors,4.6
Passenger attendants,17.5
"Aircraft service attendants and transportation workers, all other",14.1
Material moving workers,6.7
Conveyor operators and tenders,6.1
Crane and tower operators,5.4
Dredge operators,5.2
Hoist and winch operators,3.4
Industrial truck and tractor operators,7.7
Laborers and material movers,6.4
Cleaners of vehicles and equipment,8.8
"Laborers and freight, stock, and material movers, hand",9.1
Machine feeders and offbearers,6.3
"Packers and packagers, hand",0.2
Stockers and order fillers,4.4
Pumping station operators,9.1
Gas compressor and gas pumping station operators,-1.4
"Pump operators, except wellhead pumpers",12.6
Wellhead pumpers,9.4
Refuse and recyclable material collectors,11.9
"Tank car, truck, and ship loaders",4.7
"Material moving workers, all other",9.1
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",
