Occupation,Job Zone,Active_Learning_Importance,Active_Learning_Level,Critical_Thinking_Importance,Critical_Thinking_Level,Learning_Strategies_Importance,Learning_Strategies_Level,Monitoring_Importance,Monitoring_Level,Active_Listening_Importance,Active_Listening_Level,Mathematics_Importance,Mathematics_Level,Programming_Importance,Programming_Level,Reading_Comprehension_Importance,Reading_Comprehension_Level,Science_Importance,Science_Level,Speaking_Importance,Speaking_Level,Writing_Importance,Writing_Level
Probation Officers and Correctional Treatment Specialists,4,60,46,72,57,31,37,69,55,75,57,22,18,16,11,72,59,19,11,75,57,69,55
Real Estate Sales Agents,3,53,46,66,57,38,34,50,43,75,57,53,46,16,9,60,57,3,Not relevant,75,57,60,50
"Recreation and Fitness Studies Teachers, Postsecondary",5,60,57,72,57,75,57,69,57,75,57,28,37,6,Not relevant,75,61,35,39,78,59,75,59
Recreation Workers,4,53,45,56,52,53,45,69,48,75,57,28,29,10,5,53,46,16,9,75,57,53,45
Recreational Therapists,4,60,48,69,57,60,48,60,52,75,57,25,29,13,11,69,55,35,29,75,55,66,55
Regulatory Affairs Specialists,4,56,55,72,61,50,43,56,54,75,57,38,41,22,20,72,68,22,16,75,59,75,59
Reservation and Transportation Ticket Agents and Travel Clerks,2,50,43,60,52,41,37,50,41,75,57,41,36,22,13,63,45,0,Not relevant,75,46,53,43
Sales Managers,4,69,55,72,57,56,54,69,68,75,57,50,46,16,13,72,57,16,9,75,59,66,57
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",4,53,46,63,54,31,30,53,46,75,57,31,32,13,7,60,54,0,Not relevant,75,57,56,46
Social and Human Service Assistants,4,56,46,66,57,47,43,66,54,75,57,25,29,16,13,69,57,19,21,75,59,66,55
"Special Education Teachers, Middle School",4,75,55,72,55,75,59,69,55,75,57,41,39,13,11,72,57,13,7,78,57,69,57
"Special Education Teachers, Secondary School",4,60,55,69,57,78,68,72,57,75,57,44,41,19,14,75,57,25,23,75,55,75,57
Supply Chain Managers,4,69,54,72,57,50,46,75,59,75,57,50,43,16,13,75,57,3,Not relevant,75,57,72,57
Talent Directors,4,50,45,72,57,44,37,60,52,75,57,25,27,16,9,72,57,13,7,75,57,56,46
"Tax Examiners and Collectors, and Revenue Agents",3,56,52,72,52,47,43,50,41,75,57,53,46,16,13,75,59,0,Not relevant,72,54,60,46
Training and Development Managers,4,72,61,72,57,85,75,72,61,75,57,50,43,19,11,75,57,22,13,75,68,72,57
Transportation Planners,4,69,54,75,61,53,45,60,54,75,57,56,54,25,25,75,61,38,30,72,55,72,57
Water Resource Specialists,4,56,54,75,57,53,46,56,54,75,57,56,54,22,21,75,59,50,46,75,57,75,57
Wind Energy Operations Managers,3,50,52,72,57,50,45,72,59,75,57,50,46,22,18,72,57,25,16,72,57,69,57
Zoologists and Wildlife Biologists,5,69,54,75,59,47,43,56,50,75,57,50,43,19,16,75,66,75,55,72,55,72,61
Acute Care Nurses,3,69,55,75,57,53,52,75,59,75,55,44,41,16,11,75,64,50,45,75,57,63,52
Anesthesiologist Assistants,5,63,52,66,54,47,46,69,55,75,55,47,41,10,9,69,61,50,41,66,54,53,50
Choreographers,4,60,46,69,50,63,48,72,52,75,55,22,14,6,Not relevant,66,46,13,7,75,57,53,43
Climate Change Policy Analysts,5,69,55,75,57,50,45,53,54,75,55,50,46,22,18,81,61,41,39,72,61,72,59
Concierges,3,47,41,56,52,31,30,50,43,75,55,25,29,10,5,50,46,0,Not relevant,75,48,44,41
Court Reporters and Simultaneous Captioners,3,35,34,38,39,25,27,50,43,75,55,16,9,3,Not relevant,53,52,0,Not relevant,50,45,60,46
"Dispatchers, Except Police, Fire, and Ambulance",2,50,41,53,54,44,39,72,46,75,55,28,29,10,5,69,46,3,Not relevant,75,55,53,41
Fashion Designers,3,72,48,75,52,53,45,66,54,75,55,31,32,10,9,69,54,3,Not relevant,72,52,63,50
First-Line Supervisors of Office and Administrative Support Workers,3,69,54,72,55,66,54,75,57,75,55,44,39,22,14,75,54,0,Not relevant,75,57,69,54
Occupational Health and Safety Technicians,3,53,46,72,55,50,45,60,54,75,55,38,39,22,16,72,55,47,41,72,55,63,55
Orthodontists,5,69,55,75,57,50,48,69,54,75,55,31,34,6,Not relevant,69,59,66,52,75,57,60,57
Parts Salespersons,2,47,43,56,45,31,30,53,41,75,55,38,36,13,9,72,45,0,Not relevant,75,45,53,41
Pharmacy Technicians,3,53,45,56,52,47,41,53,45,75,55,50,43,13,7,69,52,22,21,69,46,50,43
Prosthodontists,5,50,46,72,57,47,45,63,50,75,55,28,36,16,9,63,55,50,45,75,55,60,48
Surgical Assistants,3,50,45,66,50,53,45,66,50,75,55,38,37,13,13,66,57,41,37,69,55,53,48
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2,47,43,50,52,28,27,53,46,75,54,25,23,16,11,72,55,0,Not relevant,75,52,69,50
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,2,53,45,72,50,50,43,69,50,75,52,38,29,10,5,69,54,6,Not relevant,72,54,56,48
Telemarketers,2,22,21,47,48,10,7,38,34,75,52,13,9,3,Not relevant,53,46,3,Not relevant,81,52,35,37
Telephone Operators,2,35,29,50,46,28,27,41,34,75,50,22,20,16,9,50,39,0,Not relevant,75,48,35,36
Postmasters and Mail Superintendents,2,56,45,69,55,60,46,69,52,75,48,44,36,19,13,75,55,13,7,75,57,56,54
Order Clerks,2,53,43,56,52,35,30,56,39,75,46,50,41,13,7,72,48,3,Not relevant,72,46,53,41
Transit and Railroad Police,3,56,43,72,48,47,46,60,50,75,46,25,29,16,11,53,46,3,Not relevant,75,55,56,43
Floral Designers,2,50,41,56,48,31,30,50,41,75,45,31,30,10,5,47,43,6,Not relevant,72,48,38,39
Accountants and Auditors,4,58,50,72,55,49,43,58,51,74,57,67,57,16,14,74,58,22,23,70,55,69,52
Appraisers and Assessors of Real Estate,4,59,47,72,55,27,29,45,40,74,54,55,53,13,8,74,57,17,13,69,55,61,54
"Securities, Commodities, and Financial Services Sales Agents",4,55,53,74,60,41,38,54,52,73,58,59,54,20,17,72,60,8,Not relevant,72,58,58,55
"Computer Science Teachers, Postsecondary",5,72,59,72,64,72,63,69,57,72,63,53,50,50,45,75,71,44,37,75,70,75,70
Human Factors Engineers and Ergonomists,5,63,61,75,63,56,50,60,59,72,63,56,57,31,34,75,70,50,45,75,61,72,61
"Architects, Except Landscape and Naval",5,66,59,75,64,56,45,69,63,72,61,63,59,22,18,75,68,47,43,75,57,72,59
Biostatisticians,5,75,70,75,70,60,55,50,52,72,61,91,73,60,57,75,73,75,66,75,64,72,70
Curators,5,63,59,69,63,56,50,60,57,72,61,47,43,19,14,75,66,25,18,75,59,72,66
Forensic Science Technicians,4,56,52,72,57,50,48,53,50,72,61,44,45,19,18,72,63,60,46,72,59,72,59
"Geoscientists, Except Hydrologists and Geographers",5,56,54,75,61,53,45,53,48,72,61,60,59,25,23,78,70,75,66,75,63,72,66
Sales Engineers,4,66,55,75,57,50,50,50,52,72,61,50,54,28,27,75,68,31,32,75,59,69,57
Social and Community Service Managers,4,72,55,72,59,66,54,72,57,72,61,41,45,19,13,69,59,31,29,69,59,69,57
Treasurers and Controllers,4,66,61,78,68,50,48,72,64,72,61,69,61,16,14,78,61,6,Not relevant,75,61,66,59
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",4,66,55,75,60,56,49,61,55,72,60,49,47,25,21,75,65,61,55,74,59,74,59
Aerospace Engineers,4,66,55,78,66,60,54,69,55,72,59,72,68,28,Not available,75,71,75,73,72,61,72,64
Business Intelligence Analysts,4,69,59,75,61,50,43,53,48,72,59,60,55,41,36,75,63,19,11,72,57,69,59
Compliance Managers,4,69,55,75,61,56,50,69,66,72,59,28,32,19,13,75,59,10,7,72,59,72,59
Construction Managers,4,66,55,69,59,50,45,72,61,72,59,56,52,13,7,69,59,22,25,72,59,56,55
Coroners,3,60,54,75,59,50,43,56,50,72,59,41,36,13,7,75,61,53,54,75,59,72,59
Environmental Restoration Planners,5,63,57,75,59,50,46,69,55,72,59,56,48,31,27,72,61,63,55,72,59,72,61
Logisticians,4,63,50,75,59,50,50,72,66,72,59,50,48,22,25,72,59,19,13,72,57,60,54
Manufacturing Engineers,4,66,64,69,57,56,55,72,66,72,59,75,64,22,36,75,68,53,54,72,59,69,63
Marketing Managers,4,72,59,72,61,53,50,69,61,72,59,44,45,22,18,72,61,19,21,72,59,56,55
Producers and Directors,4,53,53,72,57,45,42,70,60,72,59,31,35,17,12,69,60,2,Not relevant,75,58,66,54
Quality Control Systems Managers,4,63,57,69,59,60,50,72,59,72,59,53,48,25,21,78,57,35,Not available,69,54,69,54
Soil and Plant Scientists,5,75,64,75,63,56,55,56,59,72,59,56,55,28,29,75,71,75,70,75,66,72,63
Acupuncturists,5,53,46,69,55,41,41,56,50,72,57,25,29,6,Not relevant,60,57,38,30,63,55,53,50
Animal Scientists,5,72,63,75,61,56,46,63,57,72,57,60,50,22,14,75,66,85,63,75,59,75,61
Brownfield Redevelopment Specialists and Site Managers,4,56,55,75,61,50,43,75,59,72,57,66,55,16,11,75,64,50,46,75,59,72,59
Computer Systems Analysts,4,63,59,72,61,50,45,56,57,72,57,50,50,53,52,72,63,31,30,69,57,63,57
Conservation Scientists,4,56,54,69,57,44,46,63,54,72,57,60,54,22,21,72,59,63,55,69,55,69,57
Credit Counselors,4,66,50,69,55,53,45,50,43,72,57,53,43,13,11,72,55,0,Not relevant,75,57,69,54
Diagnostic Medical Sonographers,3,60,45,63,50,50,43,63,46,72,57,28,32,6,Not relevant,69,55,56,41,69,52,56,48
Editors,4,53,55,72,57,47,43,50,48,72,57,28,34,16,11,97,73,0,Not relevant,69,57,81,71
Electrical Engineers,4,63,48,72,57,47,43,63,50,72,57,56,57,25,21,72,61,53,50,69,54,72,55
"Energy Engineers, Except Wind and Solar",4,69,55,75,59,47,43,72,55,72,57,69,59,25,18,78,68,66,63,69,57,72,59
Environmental Compliance Inspectors,4,69,59,75,61,50,46,69,63,72,57,50,45,16,16,75,68,50,46,72,61,72,59
Environmental Engineering Technologists and Technicians,4,69,55,72,57,50,43,60,54,72,57,50,54,28,29,72,57,60,54,60,57,53,55
Fire-Prevention and Protection Engineers,4,66,55,78,59,47,48,50,48,72,57,47,45,22,23,75,57,63,55,72,57,72,57
First-Line Supervisors of Production and Operating Workers,3,53,45,69,54,53,45,69,55,72,57,35,41,6,Not relevant,63,54,13,9,72,54,53,52
Geodetic Surveyors,4,56,55,75,57,50,50,60,55,72,57,78,68,35,43,75,63,53,52,56,55,56,59
Geographers,5,69,55,72,57,56,52,50,50,72,57,47,43,16,13,75,68,66,55,75,61,75,68
Hydrologists,5,66,63,75,64,50,48,63,57,72,57,69,63,28,37,72,66,72,63,69,59,66,59
Industrial Production Managers,4,66,57,75,57,69,57,75,70,72,57,60,54,16,11,72,57,16,16,75,57,60,57
Insurance Sales Agents,4,50,48,69,55,44,39,47,43,72,57,50,43,19,11,75,57,3,Not relevant,72,57,66,52
Licensed Practical and Licensed Vocational Nurses,3,60,46,69,57,53,45,72,57,72,57,47,41,6,Not relevant,69,59,41,37,72,57,56,45
Logistics Analysts,4,53,54,75,59,44,43,69,57,72,57,50,54,25,25,75,57,19,11,69,48,60,57
Marine Engineers and Naval Architects,4,61,63,74,63,47,43,63,57,72,57,66,69,27,26,74,68,58,62,72,57,63,57
Market Research Analysts and Marketing Specialists,4,63,57,75,57,50,43,56,52,72,57,56,48,28,29,75,66,31,32,72,57,75,59
Mechanical Engineers,4,60,63,72,61,44,50,53,61,72,57,72,70,38,34,72,70,72,66,53,55,56,57
"Mining and Geological Engineers, Including Mining Safety Engineers",4,63,59,75,64,53,48,69,64,72,57,69,66,41,43,75,68,63,57,75,59,75,61
Ophthalmic Medical Technologists,3,50,43,56,52,50,43,50,45,72,57,41,37,16,13,53,55,31,39,72,57,53,50
Oral and Maxillofacial Surgeons,5,72,64,75,68,47,48,72,55,72,57,41,39,13,7,75,75,63,55,72,59,63,55
Paralegals and Legal Assistants,3,53,46,60,50,31,30,50,43,72,57,22,23,13,9,75,57,16,11,69,54,69,55
Petroleum Engineers,4,69,55,75,63,50,43,69,55,72,57,56,57,22,16,75,68,60,57,72,57,72,61
Purchasing Managers,4,60,55,72,57,53,52,63,55,72,57,50,48,22,16,69,54,6,Not relevant,72,55,69,57
Real Estate Brokers,4,66,54,72,55,38,29,53,48,72,57,47,43,13,7,72,59,3,Not relevant,75,57,60,50
Regulatory Affairs Managers,4,60,55,72,59,50,50,72,59,72,57,38,41,19,11,75,61,38,29,75,57,75,57
Robotics Engineers,4,69,64,75,66,60,54,72,55,72,57,69,66,53,55,72,70,53,54,56,55,69,55
Sustainability Specialists,4,56,48,72,57,53,45,63,50,72,57,47,41,13,9,75,59,31,25,75,59,75,59
Tax Preparers,3,53,45,63,52,44,43,53,43,72,57,53,46,16,9,75,57,0,Not relevant,56,50,50,43
Travel Guides,3,47,41,56,50,47,45,47,46,72,57,44,36,16,13,56,50,6,Not relevant,72,46,53,45
Validation Engineers,4,56,52,75,59,50,45,72,57,72,57,53,52,22,14,78,64,69,63,75,57,75,59
Water/Wastewater Engineers,4,56,57,75,59,53,54,66,57,72,57,72,64,28,36,75,63,63,Not available,69,57,75,57
First-Line Supervisors of Firefighting and Prevention Workers,3,69,55,75,59,60,52,75,63,72,56,44,46,14,8,64,56,36,32,74,57,61,54
Archivists,5,56,46,60,55,47,41,50,45,72,55,25,30,19,13,75,57,25,16,56,55,75,57
Biomass Power Plant Managers,4,53,48,75,57,50,45,72,66,72,55,50,46,16,13,72,61,38,36,75,57,53,54
Brokerage Clerks,3,50,43,60,52,41,39,53,43,72,55,50,50,25,25,69,54,0,Not relevant,72,52,53,50
Cardiovascular Technologists and Technicians,3,53,48,69,54,47,43,69,54,72,55,41,36,16,9,66,59,50,41,69,52,53,50
Chemical Technicians,3,60,46,75,59,53,46,72,55,72,55,50,45,13,9,75,59,78,59,60,48,72,57
Clinical Data Managers,4,66,57,75,61,47,46,66,59,72,55,63,55,56,52,72,61,35,32,72,57,69,57
Commercial Pilots,3,66,57,75,57,56,48,75,57,72,55,44,37,16,11,66,57,47,43,66,52,47,45
Computer Hardware Engineers,4,69,59,75,59,47,45,53,46,72,55,56,48,38,39,75,64,47,46,72,57,72,59
Construction and Building Inspectors,3,53,45,69,55,50,45,50,45,72,55,50,46,16,13,72,55,41,29,72,55,50,43
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2,47,41,69,54,50,48,60,50,72,55,28,34,10,5,53,54,6,Not relevant,69,54,50,48
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3,53,43,69,54,53,43,75,54,72,55,47,41,16,11,53,52,16,14,69,57,50,43
Hearing Aid Specialists,3,53,45,53,52,50,43,53,43,72,55,28,37,13,9,56,48,19,13,60,52,53,43
Industrial Engineering Technologists and Technicians,3,50,52,72,55,44,43,60,55,72,55,53,54,22,23,75,57,47,45,56,54,53,54
Magnetic Resonance Imaging Technologists,3,50,43,56,52,47,43,66,55,72,55,38,37,19,13,72,55,41,32,66,54,53,46
Medical Assistants,3,56,48,66,52,53,45,63,50,72,55,41,37,13,9,69,57,41,32,72,57,60,46
Museum Technicians and Conservators,4,50,45,56,48,47,43,53,46,72,55,31,36,13,9,66,59,35,32,66,50,56,54
Nuclear Monitoring Technicians,3,50,45,72,57,53,46,72,57,72,55,53,45,13,9,69,57,53,45,63,48,53,52
Nuclear Power Reactor Operators,3,53,45,72,57,50,43,72,57,72,55,44,39,25,18,75,55,44,43,56,46,63,43
Occupational Health and Safety Specialists,4,60,57,72,59,56,50,66,59,72,55,60,48,19,18,72,57,47,48,75,59,66,55
Occupational Therapy Assistants,3,53,43,56,46,47,45,60,48,72,55,35,32,6,Not relevant,66,52,22,23,69,48,66,52
"Poets, Lyricists and Creative Writers",4,63,55,69,55,47,39,47,46,72,55,13,7,16,9,81,66,10,7,66,55,94,82
Police Identification and Records Officers,3,53,46,72,57,44,41,53,46,72,55,28,34,13,9,66,59,19,14,69,55,60,46
Precision Agriculture Technicians,4,63,54,72,52,44,39,56,50,72,55,56,48,31,23,72,57,50,45,69,48,60,48
Psychiatric Technicians,3,50,46,66,55,53,50,72,55,72,55,25,27,13,7,69,57,22,21,75,57,56,45
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4,69,55,69,55,50,45,69,55,72,55,47,41,6,Not relevant,75,57,3,Not relevant,72,57,69,54
Residential Advisors,3,50,43,66,57,44,41,69,52,72,55,25,29,10,7,53,48,10,5,69,55,50,43
Respiratory Therapists,3,66,52,72,57,53,43,72,55,72,55,44,41,13,7,66,57,50,50,69,57,53,50
Set and Exhibit Designers,5,53,45,69,54,47,39,53,50,72,55,50,48,19,13,72,57,19,13,69,52,56,45
Special Effects Artists and Animators,4,53,48,69,54,47,43,50,46,72,55,28,34,28,23,69,57,3,Not relevant,56,50,53,43
Statisticians,5,66,55,78,70,50,45,47,45,72,55,94,82,50,52,75,70,63,57,69,61,63,63
Chemists,4,60,59,75,59,47,45,56,54,72,54,72,63,28,25,75,71,81,73,63,57,66,68
Computer Network Architects,4,56,52,75,61,47,46,56,50,72,54,56,55,63,48,72,61,28,23,69,57,66,54
Customer Service Representatives,2,50,41,53,46,41,41,50,43,72,54,25,30,13,9,60,48,0,Not relevant,72,54,44,43
"Directors, Religious Activities and Education",4,63,54,69,55,63,54,50,55,72,54,35,41,19,11,72,59,19,13,75,57,60,55
Energy Auditors,3,53,46,69,54,50,43,56,48,72,54,60,45,13,11,72,55,50,43,69,48,69,54
First-Line Supervisors of Personal Service Workers,3,50,43,72,54,50,43,56,50,72,54,28,30,10,5,63,50,13,9,69,54,53,45
Fish and Game Wardens,4,50,50,72,57,47,43,60,50,72,54,41,41,13,7,66,59,44,39,69,52,53,48
"Production, Planning, and Expediting Clerks",3,41,41,60,55,38,36,60,50,72,54,41,36,16,9,72,57,6,Not relevant,66,48,60,45
Solar Sales Representatives and Assessors,3,53,48,63,54,38,36,53,48,72,54,44,46,16,11,63,55,10,13,75,55,56,48
Bill and Account Collectors,2,47,39,53,50,28,30,50,41,72,52,41,37,6,Not relevant,53,52,0,Not relevant,72,52,56,45
Demonstrators and Product Promoters,2,47,43,50,43,44,39,50,45,72,52,28,27,3,Not relevant,56,46,0,Not relevant,72,55,50,43
First-Line Supervisors of Retail Sales Workers,2,50,48,63,55,50,50,63,55,72,52,44,43,19,14,50,55,0,Not relevant,69,55,50,52
Medical Appliance Technicians,3,50,43,69,50,47,41,56,45,72,52,44,41,10,5,66,52,22,23,66,45,50,43
Writers and Authors,4,50,45,63,52,41,37,50,45,72,52,28,27,10,9,81,59,16,16,66,50,81,59
First-Line Supervisors of Gambling Services Workers,2,44,41,63,54,38,32,75,49,72,51,38,30,5,Not relevant,50,46,11,Not relevant,72,50,50,43
Medical Secretaries and Administrative Assistants,2,31,32,53,43,28,30,50,41,72,50,28,29,10,5,63,45,3,Not relevant,75,52,53,43
Aviation Inspectors,3,53,46,75,57,47,43,60,48,72,48,31,34,10,7,72,48,47,50,72,57,66,46
Correctional Officers and Jailers,2,50,43,66,52,50,43,72,55,72,48,25,29,13,7,63,54,16,9,75,52,53,45
Dental Assistants,3,53,45,50,45,38,36,53,43,72,48,28,29,10,5,56,46,25,25,60,45,50,43
"Explosives Workers, Ordnance Handling Experts, and Blasters",2,53,45,66,50,50,41,69,52,72,48,38,41,0,Not relevant,53,52,22,20,60,45,47,41
Flight Attendants,2,53,43,53,52,44,32,72,48,72,46,25,27,10,5,53,50,10,7,78,54,50,41
Medical and Clinical Laboratory Technicians,3,50,45,60,48,47,45,53,45,72,45,44,36,22,14,63,48,56,48,60,45,53,43
"Preschool Teachers, Except Special Education",3,53,43,69,45,72,57,69,50,72,45,25,27,0,Not relevant,69,46,16,9,75,45,50,43
"Hairdressers, Hairstylists, and Cosmetologists",3,56,43,60,50,47,43,50,43,72,43,35,29,10,5,50,43,16,14,69,43,47,41
Nannies,2,50,43,63,46,56,46,75,55,72,43,16,11,0,Not relevant,50,43,19,14,72,48,53,41
"Switchboard Operators, Including Answering Service",2,41,32,47,39,28,29,47,34,72,43,19,20,13,7,50,43,0,Not relevant,75,39,50,34
"Transportation, Storage, and Distribution Managers",4,57,52,73,58,52,48,72,59,71,57,52,45,12,8,72,57,11,Not relevant,73,57,66,52
"Captains, Mates, and Pilots of Water Vessels",3,57,47,71,52,45,42,68,52,71,51,42,38,14,Not relevant,57,52,23,21,69,49,49,45
"Claims Adjusters, Examiners, and Investigators",4,58,47,72,57,36,37,53,45,70,56,49,44,11,9,72,58,11,Not relevant,70,55,67,54
Librarians and Media Collections Specialists,5,56,50,63,53,55,48,55,49,70,54,27,29,11,Not relevant,66,54,11,Not relevant,66,52,61,53
Radiologic Technologists and Technicians,3,52,44,60,48,42,40,56,46,70,54,28,32,16,9,66,55,34,31,70,54,56,46
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",3,54,47,67,51,51,45,69,54,70,53,42,38,11,Not relevant,56,53,33,30,67,52,52,48
Firefighters,3,53,43,67,54,53,43,70,53,70,50,33,32,6,Not relevant,58,50,28,23,64,46,49,42
Midwives,5,60,52,75,57,56,48,75,66,69,63,31,36,16,11,66,61,47,41,69,57,53,52
Computer and Information Research Scientists,5,63,70,75,61,50,50,53,57,69,59,60,63,66,64,69,64,53,48,63,59,60,59
Cost Estimators,4,56,55,72,61,47,43,50,52,69,59,75,61,22,23,72,59,13,9,69,54,63,54
Photonics Engineers,4,66,71,75,68,50,46,50,52,69,59,66,70,31,39,72,71,63,57,66,57,72,68
Remote Sensing Scientists and Technologists,5,53,55,75,61,47,45,63,55,69,59,72,61,38,34,75,70,75,59,72,55,72,68
Social Science Research Assistants,4,53,52,69,55,50,45,47,45,69,59,53,55,41,39,75,68,56,48,60,54,69,55
Advertising Sales Agents,4,47,52,56,54,41,37,50,48,69,57,44,39,22,16,60,55,0,Not relevant,78,57,53,48
Civil Engineering Technologists and Technicians,3,47,43,72,52,31,37,56,48,69,57,66,48,22,14,69,59,44,37,60,50,56,50
"Compensation, Benefits, and Job Analysis Specialists",4,60,52,72,57,50,50,56,52,69,57,47,48,19,21,72,59,35,32,69,57,60,55
Computer Programmers,4,53,46,69,55,35,37,50,45,69,57,53,45,94,70,60,50,44,39,53,48,56,46
Dental Hygienists,3,50,43,63,45,44,43,53,43,69,57,25,23,10,7,50,48,35,34,63,43,53,45
Financial Quantitative Analysts,5,63,57,78,66,50,46,50,45,69,57,81,70,44,Not available,75,64,22,21,69,54,60,55
Insurance Underwriters,4,53,48,69,55,44,43,50,43,69,57,47,41,13,11,69,54,10,5,66,52,69,54
Legal Secretaries and Administrative Assistants,3,44,39,53,45,31,29,50,43,69,57,25,29,10,7,72,55,0,Not relevant,69,46,72,55
Medical and Clinical Laboratory Technologists,4,56,55,69,57,47,43,56,55,69,57,50,43,25,27,69,59,66,61,56,54,53,52
Neurodiagnostic Technologists,3,50,48,72,55,50,46,66,52,69,57,35,32,22,16,63,57,44,39,69,52,56,50
Procurement Clerks,3,56,50,66,52,31,32,63,48,69,57,47,34,10,7,75,55,0,Not relevant,75,54,69,46
"Property, Real Estate, and Community Association Managers",4,50,45,63,55,44,45,53,45,69,57,50,43,13,7,72,57,10,7,75,57,66,57
Search Marketing Strategists,4,69,55,69,55,47,43,60,54,69,57,44,41,44,30,72,59,6,Not relevant,66,54,63,54
Video Game Designers,4,63,52,66,55,50,43,56,50,69,57,41,43,75,57,66,57,6,Not available,60,50,56,52
Biofuels Production Managers,4,56,52,72,55,60,50,69,55,69,55,50,46,28,23,72,57,50,50,66,57,63,50
Business Continuity Planners,4,69,54,72,64,53,52,63,55,69,55,44,41,25,18,72,59,3,Not relevant,75,57,72,57
Correspondence Clerks,2,41,39,69,54,38,32,44,37,69,55,44,34,13,7,72,55,10,5,60,48,75,57
Cytotechnologists,5,50,50,69,55,44,43,50,43,69,55,41,39,25,14,72,55,47,41,53,48,50,48
Document Management Specialists,4,56,46,69,54,50,43,66,45,69,55,31,32,38,27,72,55,6,Not relevant,53,46,69,55
Gambling Managers,3,66,52,75,57,56,52,72,59,69,55,50,45,16,9,63,57,16,11,75,57,66,54
Information Security Analysts,4,56,55,72,59,47,45,60,55,69,55,31,34,41,32,75,59,22,23,66,54,63,54
Network and Computer Systems Administrators,4,53,54,72,55,44,52,69,55,69,55,50,48,66,55,72,57,31,36,60,55,53,54
Park Naturalists,4,60,45,69,55,56,46,53,45,69,55,25,29,19,14,72,55,41,34,75,55,66,55
Radiation Therapists,3,50,43,63,54,47,43,56,48,69,55,44,41,19,16,69,55,44,43,56,50,53,46
Surveyors,4,56,48,72,57,53,50,50,50,69,55,75,57,22,21,72,57,47,41,72,55,66,54
Technical Writers,4,56,52,66,55,38,32,50,43,69,55,16,9,10,5,78,70,6,Not relevant,69,54,97,71
Transportation Engineers,4,60,57,72,59,53,45,53,50,69,55,72,66,28,36,75,63,38,43,75,57,69,55
Veterinary Technologists and Technicians,3,53,43,69,57,50,43,56,50,69,55,44,37,19,11,66,54,47,41,66,54,56,43
Web Administrators,4,53,54,75,59,50,43,60,50,69,55,28,30,53,41,72,59,28,34,56,50,56,48
"Wholesale and Retail Buyers, Except Farm Products",3,60,55,69,57,47,46,53,57,69,55,53,48,19,13,56,55,19,13,69,55,50,48
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4,63,46,63,50,69,55,66,55,69,54,41,36,10,9,69,55,19,9,69,57,66,55
Automotive Engineers,4,56,66,78,64,47,46,56,57,69,54,69,71,41,43,72,68,53,59,72,55,69,57
Biological Technicians,4,63,55,72,57,47,39,56,54,69,54,50,52,22,25,75,66,69,52,56,54,60,54
Embalmers,3,50,43,53,45,28,39,50,45,69,54,25,29,6,Not relevant,50,48,41,32,72,54,53,43
Film and Video Editors,4,56,46,63,50,41,39,50,43,69,54,22,25,13,9,60,54,0,Not relevant,56,46,53,45
Fitness and Wellness Coordinators,4,60,50,72,55,56,50,60,55,69,54,35,37,19,13,69,55,16,20,72,57,63,54
Forest and Conservation Technicians,3,50,43,69,48,50,43,53,52,69,54,44,39,25,23,60,54,44,32,56,50,50,45
Insurance Claims and Policy Processing Clerks,2,45,37,58,50,30,29,45,39,69,54,45,42,16,10,64,53,2,Not relevant,64,54,56,43
Nuclear Medicine Technologists,3,53,45,72,52,44,43,63,50,69,54,53,43,16,13,63,57,56,50,69,54,63,48
Retail Salespersons,2,50,41,53,45,41,32,50,45,69,54,41,29,6,Not relevant,50,45,0,Not relevant,69,45,50,43
Wind Energy Development Managers,4,60,57,75,61,44,41,63,55,69,54,50,50,19,18,72,61,19,16,72,54,72,55
Actors,2,41,37,50,43,44,36,50,43,69,52,0,Not relevant,0,Not relevant,72,55,13,7,72,57,47,48
Agricultural Inspectors,2,56,48,66,57,47,43,69,59,69,52,41,39,13,7,69,57,44,39,63,55,53,52
Chefs and Head Cooks,3,53,54,69,55,53,46,72,59,69,52,53,45,13,7,53,46,16,11,72,55,53,43
Commercial Divers,3,50,45,72,54,47,43,53,46,69,52,28,30,0,Not relevant,56,50,38,32,66,48,50,43
First-Line Supervisors of Construction Trades and Extraction Workers,3,50,45,66,48,53,43,60,48,69,52,44,43,6,Not relevant,60,52,16,11,69,54,50,45
Funeral Home Managers,3,44,43,53,52,47,43,66,52,69,52,35,37,13,11,66,54,6,Not relevant,69,55,60,52
Home Health Aides,2,50,43,60,46,50,43,56,45,69,52,31,29,0,Not relevant,56,46,16,13,53,43,53,41
"Opticians, Dispensing",3,50,41,60,52,47,41,50,43,69,52,47,39,10,5,66,54,19,14,75,54,56,45
Photographers,3,53,45,53,46,47,41,53,45,69,52,25,25,16,9,53,45,19,21,69,46,47,41
