,occupation,onet_included,onet_bls_name,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
177,Industrial Truck and Tractor Operators,1.0,Industrial Truck and Tractor Operators,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,53-7051,Industrial Truck and Tractor Operators,detailed,758290.0,0.7,,,,,19.69,40950,0.2,14.36,17.31,18.45,22.71,25.5,29860,36000,38380,47230,53040,,
178,"Packers and Packagers, Hand",1.0,"Packers and Packagers, Hand",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,53-7064,"Packers and Packagers, Hand",detailed,585270.0,1.0,,,,,14.88,30950,0.3,11.07,12.54,14.39,17.34,18.38,23030,26090,29940,36060,38220,,
179,Advertising and Promotions Managers,1.0,Advertising and Promotions Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-2011,Advertising and Promotions Managers,detailed,22520.0,3.4,,,,,68.68,142860,1.9,29.45,45.2,61.13,82.79,#,61250,94020,127150,172210,#,,
180,Compensation and Benefits Managers,1.0,Compensation and Benefits Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3111,Compensation and Benefits Managers,detailed,15330.0,2.5,,,,,67.05,139470,1,37.04,47.46,61.31,78.79,#,77040,98720,127530,163870,#,,
181,Construction Managers,1.0,Construction Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9021,Construction Managers,detailed,284750.0,1.5,,,,,52.02,108210,0.8,28.87,37,47.55,61.11,78.75,60050,76960,98890,127110,163800,,
182,"Morticians, Undertakers, and Funeral Arrangers",1.0,"Morticians, Undertakers, and Funeral Arrangers",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,39-4031,"Morticians, Undertakers, and Funeral Arrangers",detailed,24700.0,2.1,,,,,27.1,56360,1.2,14.25,18.21,23.53,30.68,40.17,29640,37880,48950,63820,83550,,
183,"Compensation, Benefits, and Job Analysis Specialists",1.0,"Compensation, Benefits, and Job Analysis Specialists",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,87750.0,1.6,,,,,35.49,73810,0.5,20.56,23.94,30.83,40.25,51.04,42760,49800,64120,83720,106160,,
184,Budget Analysts,1.0,Budget Analysts,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-2031,Budget Analysts,detailed,47440.0,1.2,,,,,40.5,84240,0.4,23.72,30.17,38.43,48.91,59.83,49330,62750,79940,101730,124440,,
185,Loan Officers,1.0,Loan Officers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-2072,Loan Officers,detailed,340170.0,1.1,,,,,38.74,80570,0.8,15.64,22.83,30.47,47.18,66.5,32520,47490,63380,98130,138310,,
186,Computer Systems Analysts,1.0,Computer Systems Analysts,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,15-1211,Computer Systems Analysts,detailed,505150.0,1.0,,,,,49.14,102210,0.5,29.17,37.32,47.73,60.95,75.97,60680,77620,99270,126780,158010,,
187,Actuaries,1.0,Actuaries,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,15-2011,Actuaries,detailed,23040.0,4.1,,,,,60.24,125300,2.4,30.41,38.61,50.91,73.71,99.43,63260,80320,105900,153310,206820,,
188,Cartographers and Photogrammetrists,1.0,Cartographers and Photogrammetrists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-1021,Cartographers and Photogrammetrists,detailed,12610.0,3.0,,,,,35.34,73510,1.1,22.71,27.88,33.12,41.35,49.73,47230,58000,68900,86000,103450,,
189,Surveyors,1.0,Surveyors,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-1022,Surveyors,detailed,46390.0,2.8,,,,,33.12,68880,1.3,17.96,22.93,29.62,38.27,48.68,37360,47690,61600,79600,101240,,
190,Geodetic Surveyors,1.0,Surveyors,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-1022,Surveyors,detailed,46390.0,2.8,,,,,33.12,68880,1.3,17.96,22.93,29.62,38.27,48.68,37360,47690,61600,79600,101240,,
191,Chemical Engineers,1.0,Chemical Engineers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-2041,Chemical Engineers,detailed,24180.0,3.3,,,,,58.58,121840,3.6,30.16,38.53,50.75,66.98,90.11,62730,80140,105550,139310,187430,,
192,"Mining and Geological Engineers, Including Mining Safety Engineers",1.0,"Mining and Geological Engineers, Including Mining Safety Engineers",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,7370.0,3.7,,,,,48.29,100450,1.1,23.41,33.71,46.68,61.31,78.23,48690,70110,97090,127530,162720,,
193,Petroleum Engineers,1.0,Petroleum Engineers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-2171,Petroleum Engineers,detailed,22100.0,4.2,,,,,70.06,145720,1.3,37.69,48.5,62.91,80.65,#,78390,100880,130850,167750,#,,
194,Environmental Engineering Technologists and Technicians,1.0,Environmental Engineering Technologists and Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-3025,Environmental Engineering Technologists and Technicians,detailed,14910.0,5.5,,,,,27.21,56590,1.5,17.24,18.2,23.27,32.15,40.74,35870,37850,48390,66870,84740,,
195,Industrial Engineering Technologists and Technicians,1.0,Industrial Engineering Technologists and Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-3026,Industrial Engineering Technologists and Technicians,detailed,62030.0,2.0,,,,,29.44,61230,0.5,18.17,22.79,28.95,36.34,41.12,37790,47410,60220,75600,85530,,
196,Hydroelectric Plant Technicians,1.0,Industrial Engineering Technologists and Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-3026,Industrial Engineering Technologists and Technicians,detailed,62030.0,2.0,,,,,29.44,61230,0.5,18.17,22.79,28.95,36.34,41.12,37790,47410,60220,75600,85530,,
197,Microbiologists,1.0,Microbiologists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-1022,Microbiologists,detailed,19430.0,3.9,,,,,42.22,87820,1.4,22.9,28.78,38.11,52.89,65.76,47630,59860,79260,110010,136780,,
198,Park Naturalists,1.0,"Educational Instruction and Library Workers, All Other",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,25-9099,"Educational Instruction and Library Workers, All Other",detailed,155950.0,1.4,,,,,23.87,49650,0.8,11.2,14.49,22.26,29.26,38.42,23300,30130,46300,60860,79920,,
199,"Geoscientists, Except Hydrologists and Geographers",1.0,"Geoscientists, Except Hydrologists and Geographers",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,23620.0,3.2,,,,,49.78,103550,1.4,23.5,30.07,40.23,61.98,82.93,48880,62540,83680,128920,172490,,
200,Historians,1.0,Historians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-3093,Historians,detailed,2910.0,5.1,,,,,34.68,72130,1.3,17.94,23.29,30.74,44.49,56.91,37310,48440,63940,92540,118380,,
201,Biological Technicians,1.0,Biological Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-4021,Biological Technicians,detailed,76150.0,1.9,,,,,24.89,51770,0.7,14.99,18.18,23.15,29.58,37.54,31170,37820,48140,61530,78090,,
202,Bioinformatics Technicians,1.0,Biological Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-4021,Biological Technicians,detailed,76150.0,1.9,,,,,24.89,51770,0.7,14.99,18.18,23.15,29.58,37.54,31170,37820,48140,61530,78090,,
203,Biofuels Processing Technicians,1.0,Biological Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-4021,Biological Technicians,detailed,76150.0,1.9,,,,,24.89,51770,0.7,14.99,18.18,23.15,29.58,37.54,31170,37820,48140,61530,78090,,
204,Biomass Plant Technicians,1.0,Biological Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-4021,Biological Technicians,detailed,76150.0,1.9,,,,,24.89,51770,0.7,14.99,18.18,23.15,29.58,37.54,31170,37820,48140,61530,78090,,
205,Social and Human Service Assistants,1.0,Social and Human Service Assistants,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,21-1093,Social and Human Service Assistants,detailed,398380.0,1.0,,,,,19.45,40460,0.5,13.42,14.64,18.08,22.58,28.6,27910,30440,37610,46960,59490,,
206,Lawyers,1.0,Lawyers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,23-1011,Lawyers,detailed,681010.0,1.0,,,,,71.17,148030,1.1,29.52,39.24,61.54,93.55,#,61400,81620,127990,194580,#,,
207,Museum Technicians and Conservators,1.0,Museum Technicians and Conservators,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,25-4013,Museum Technicians and Conservators,detailed,10960.0,2.1,,,,,25.02,52030,1.2,14.01,17.52,22.9,29.53,38.36,29130,36440,47630,61420,79780,,
208,Media Technical Directors/Managers,1.0,"Arts, Design, Entertainment, Sports, and Media Occupations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Media Programming Directors,1.0,"Arts, Design, Entertainment, Sports, and Media Occupations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"Umpires, Referees, and Other Sports Officials",1.0,"Umpires, Referees, and Other Sports Officials",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,27-2023,"Umpires, Referees, and Other Sports Officials",detailed,9620.0,8.0,,,,,*,51710,16.4,*,*,*,*,*,19170,24350,35860,48430,81620,True,
211,Broadcast Announcers and Radio Disc Jockeys,1.0,Broadcast Announcers and Radio Disc Jockeys,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,27-3011,Broadcast Announcers and Radio Disc Jockeys,detailed,24580.0,3.8,,,,,26.97,56110,2.4,10.99,13.97,18.09,28.89,49.56,22860,29050,37630,60090,103090,,
212,Technical Writers,1.0,Technical Writers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,27-3042,Technical Writers,detailed,47620.0,2.7,,,,,39.17,81470,1.1,23.51,29.73,37.53,47.52,60.1,48890,61830,78060,98840,125010,,
213,Audio and Video Technicians,1.0,Audio and Video Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,27-4011,Audio and Video Technicians,detailed,50590.0,3.9,,,,,26.59,55310,1.9,14.5,18.41,23.47,30.42,43.36,30160,38300,48820,63260,90180,,
214,Broadcast Technicians,1.0,Broadcast Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,27-4012,Broadcast Technicians,detailed,25270.0,6.4,,,,,24.66,51280,3.3,11.82,14.45,21.51,30.09,43.68,24580,30060,44740,62590,90850,,
215,"Camera Operators, Television, Video, and Film",1.0,"Camera Operators, Television, Video, and Film",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,27-4031,"Camera Operators, Television, Video, and Film",detailed,20280.0,13.5,,,,,29.69,61740,2.6,14.5,18.48,23.67,37.15,48.74,30160,38430,49230,77270,101380,,
216,Film and Video Editors,1.0,Film and Video Editors,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,27-4032,Film and Video Editors,detailed,28030.0,8.2,,,,,36.54,76000,4.4,17.82,22.76,30.13,47.09,66.79,37060,47350,62680,97950,138910,,
217,Physician Assistants,1.0,Physician Assistants,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-1071,Physician Assistants,detailed,132940.0,1.6,,,,,57.43,119460,0.6,37.47,48.02,58.43,63.34,79.14,77940,99880,121530,131740,164620,,
218,Radiation Therapists,1.0,Radiation Therapists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-1124,Radiation Therapists,detailed,16050.0,3.2,,,,,45.19,94000,1,29.34,36.3,39.8,49.07,61.8,61030,75490,82790,102060,128550,,
219,Veterinarians,1.0,Veterinarians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-1131,Veterinarians,detailed,77260.0,1.0,,,,,52.84,109920,0.7,29.21,37.94,48.26,61.74,79.62,60760,78920,100370,128410,165600,,
220,Cardiovascular Technologists and Technicians,1.0,Cardiovascular Technologists and Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-2031,Cardiovascular Technologists and Technicians,detailed,55760.0,2.1,,,,,29.82,62020,0.4,14.38,18.26,29.12,37.31,47.15,29910,37990,60570,77600,98070,,
221,Nuclear Medicine Technologists,1.0,Nuclear Medicine Technologists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-2033,Nuclear Medicine Technologists,detailed,17140.0,1.8,,,,,40.79,84850,0.9,29.11,35.97,37.86,47.31,50.74,60550,74820,78760,98410,105530,,
222,Dietetic Technicians,1.0,Dietetic Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-2051,Dietetic Technicians,detailed,21610.0,2.7,,,,,16.42,34160,0.8,10.96,13.65,14.19,17.88,22.66,22790,28400,29520,37200,47120,,
223,Veterinary Technologists and Technicians,1.0,Veterinary Technologists and Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-2056,Veterinary Technologists and Technicians,detailed,118670.0,1.4,,,,,18.39,38250,0.4,13.64,14.33,17.72,21.99,23.13,28370,29810,36850,45750,48100,,
224,"Opticians, Dispensing",1.0,"Opticians, Dispensing",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-2081,"Opticians, Dispensing",detailed,73270.0,1.9,,,,,20.7,43060,1.2,13.9,14.57,18.06,22.91,28.98,28910,30310,37570,47660,60280,,
225,Athletic Trainers,1.0,Athletic Trainers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-9091,Athletic Trainers,detailed,26070.0,2.5,,,,,*,54650,0.7,*,*,*,*,*,36960,46590,48420,60780,76180,True,
226,Occupational Therapy Assistants,1.0,Occupational Therapy Assistants,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,31-2011,Occupational Therapy Assistants,detailed,41980.0,2.6,,,,,30.56,63560,0.6,22.5,24.46,29.68,36.9,38.56,46810,50880,61730,76740,80210,,
227,Physical Therapist Aides,1.0,Physical Therapist Aides,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,31-2022,Physical Therapist Aides,detailed,42390.0,2.9,,,,,14.6,30370,1,10.65,11.65,14.04,16.98,18.23,22140,24240,29200,35320,37920,,
228,Medical Equipment Preparers,1.0,Medical Equipment Preparers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,31-9093,Medical Equipment Preparers,detailed,61170.0,1.1,,,,,20.4,42420,0.5,14.18,16.94,18.37,23.15,28.99,29490,35230,38220,48150,60300,,
229,Veterinary Assistants and Laboratory Animal Caretakers,1.0,Veterinary Assistants and Laboratory Animal Caretakers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detailed,98970.0,1.8,,,,,15.28,31780,0.4,11.02,13.56,14.32,17.56,18.68,22920,28200,29780,36520,38860,,
230,Gambling Surveillance Officers and Gambling Investigators,1.0,Gambling Surveillance Officers and Gambling Investigators,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,33-9031,Gambling Surveillance Officers and Gambling Investigators,detailed,9190.0,2.1,,,,,18.31,38080,0.7,13.45,14.17,17.04,19.13,27.28,27970,29470,35450,39790,56730,,
231,Gambling Dealers,1.0,Gambling Dealers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,39-3011,Gambling Dealers,detailed,64700.0,1.7,,,,,13.92,28960,1.6,8.53,8.94,12,14.42,22.98,17740,18600,24960,29990,47810,,
232,"Locker Room, Coatroom, and Dressing Room Attendants",1.0,"Locker Room, Coatroom, and Dressing Room Attendants",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detailed,9670.0,5.7,,,,,14.53,30220,1.4,9.24,11.17,13.74,16.01,20.27,19210,23220,28570,33300,42160,,
233,Embalmers,1.0,Embalmers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,39-4011,Embalmers,detailed,4070.0,5.5,,,,,24.62,51210,2.1,13.94,17.97,22.97,29.42,37.6,29000,37380,47780,61200,78210,,
234,Funeral Attendants,1.0,Funeral Attendants,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,39-4021,Funeral Attendants,detailed,32490.0,1.7,,,,,15.21,31630,1.1,10.75,11.78,14.05,17.23,21.95,22350,24490,29230,35840,45660,,
235,Concierges,1.0,Concierges,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,39-6012,Concierges,detailed,33560.0,6.1,,,,,18.04,37520,2.2,12.03,14.26,16.93,21.67,27.76,25030,29660,35210,45070,57750,,
236,Tour Guides and Escorts,1.0,Tour and Travel Guides,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,39-7010,Tour and Travel Guides,detailed,30980.0,3.1,,,,,15.96,33200,1.7,10.07,11.68,14.32,18.11,22.98,20950,24300,29780,37670,47800,,
237,Travel Guides,1.0,Tour and Travel Guides,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,39-7010,Tour and Travel Guides,detailed,30980.0,3.1,,,,,15.96,33200,1.7,10.07,11.68,14.32,18.11,22.98,20950,24300,29780,37670,47800,,
238,Exercise Trainers and Group Fitness Instructors,1.0,Exercise Trainers and Group Fitness Instructors,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,39-9031,Exercise Trainers and Group Fitness Instructors,detailed,221600.0,1.6,,,,,22.05,45870,1,11.04,14.22,19.57,27.77,36.51,22960,29580,40700,57760,75940,,
239,Advertising Sales Agents,1.0,Advertising Sales Agents,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,41-3011,Advertising Sales Agents,detailed,96660.0,2.8,,,,,31.99,66540,1,13.8,18.13,25.16,38.13,60.27,28700,37700,52340,79310,125370,,
240,Real Estate Brokers,1.0,Real Estate Brokers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,41-9021,Real Estate Brokers,detailed,48460.0,6.9,,,,,41.58,86490,4.5,14.65,20.64,29.81,48.56,84.65,30470,42920,62010,101000,176080,,
241,Telemarketers,1.0,Telemarketers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,41-9041,Telemarketers,detailed,115130.0,3.2,,,,,14.74,30670,1.3,9.36,11.28,13.9,16.58,21.73,19470,23470,28910,34480,45190,,
242,"Switchboard Operators, Including Answering Service",1.0,"Switchboard Operators, Including Answering Service",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,43-2011,"Switchboard Operators, Including Answering Service",detailed,48190.0,1.8,,,,,16.63,34590,0.5,11.11,13.81,14.5,17.98,22.76,23120,28720,30150,37410,47330,,
243,Gambling Cage Workers,1.0,Gambling Cage Workers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,43-3041,Gambling Cage Workers,detailed,11140.0,2.6,,,,,14.79,30770,0.8,10.9,12.5,14.12,17.12,18.21,22660,26000,29360,35620,37890,,
244,New Accounts Clerks,1.0,New Accounts Clerks,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,43-4141,New Accounts Clerks,detailed,40500.0,3.5,,,,,19.83,41250,1,14.23,17.47,18.19,22.58,24.88,29600,36340,37840,46960,51750,,
245,"Shipping, Receiving, and Inventory Clerks",1.0,"Shipping, Receiving, and Inventory Clerks",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,43-5071,"Shipping, Receiving, and Inventory Clerks",detailed,795360.0,0.7,,,,,18.37,38210,0.2,13.38,14.35,17.74,21.97,24.29,27830,29840,36890,45710,50520,,
246,Brickmasons and Blockmasons,1.0,Brickmasons and Blockmasons,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,47-2021,Brickmasons and Blockmasons,detailed,55950.0,3.2,,,,,29.53,61430,1,17.84,22.65,28.53,36.57,46.52,37100,47110,59340,76070,96750,,
247,"Paving, Surfacing, and Tamping Equipment Operators",1.0,"Paving, Surfacing, and Tamping Equipment Operators",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",detailed,44200.0,3.4,,,,,24.32,50590,1.3,14.53,18.09,22.58,28.68,37.41,30220,37630,46960,59650,77820,,
248,Helpers--Electricians,1.0,Helpers--Electricians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,47-3013,Helpers--Electricians,detailed,72150.0,2.6,,,,,17.66,36720,0.6,13.31,14.25,17.48,18.92,22.97,27680,29630,36360,39350,47790,,
249,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",1.0,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detailed,45930.0,3.2,,,,,17.47,36350,1.1,13.18,14.07,17.18,18.47,22.9,27410,29260,35720,38420,47630,,
250,Highway Maintenance Workers,1.0,Highway Maintenance Workers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,47-4051,Highway Maintenance Workers,detailed,141150.0,1.2,,,,,21.32,44340,0.4,14.01,17.65,22.06,23.32,29.31,29130,36700,45880,48500,60970,,
251,"Roof Bolters, Mining",1.0,"Roof Bolters, Mining",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,47-5043,"Roof Bolters, Mining",detailed,1850.0,7.8,,,,,28.45,59170,1.5,22.52,22.89,28.74,29.81,36.25,46840,47610,59770,62000,75390,,
252,Food Batchmakers,1.0,Food Batchmakers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,51-3092,Food Batchmakers,detailed,155240.0,1.7,,,,,17.4,36190,0.5,11.34,14.02,17.2,21.23,22.96,23590,29160,35780,44170,47760,,
253,Food Cooking Machine Operators and Tenders,1.0,Food Cooking Machine Operators and Tenders,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,51-3093,Food Cooking Machine Operators and Tenders,detailed,26710.0,4.2,,,,,17.03,35430,0.8,11.49,14.17,17.26,18.55,22.81,23890,29470,35890,38580,47440,,
254,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",1.0,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed,14180.0,2.5,,,,,21.11,43910,0.7,14.09,17.34,21.01,23.65,29.15,29310,36070,43710,49200,60640,,
255,Hoist and Winch Operators,1.0,Hoist and Winch Operators,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,53-7041,Hoist and Winch Operators,detailed,2610.0,6.4,,,,,28.1,58450,1.8,14.69,18.18,25.14,37.49,47.9,30560,37820,52300,77980,99640,,
256,Cleaners of Vehicles and Equipment,1.0,Cleaners of Vehicles and Equipment,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,53-7061,Cleaners of Vehicles and Equipment,detailed,351960.0,0.7,,,,,14.69,30550,0.3,10.52,11.62,14.08,16.65,18.67,21890,24180,29280,34620,38830,,
257,Wellhead Pumpers,1.0,Wellhead Pumpers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,53-7073,Wellhead Pumpers,detailed,16040.0,7.0,,,,,32.29,67170,1.7,18.55,23.94,30.64,38.23,45.21,38590,49790,63740,79520,94050,,
258,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1.0,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,114320.0,4.0,,,,,13.14,27320,1.3,9.22,10.65,12.32,14.34,17.57,19180,22140,25630,29820,36540,,
259,"Cooks, Fast Food",1.0,"Cooks, Fast Food",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,35-2011,"Cooks, Fast Food",detailed,768130.0,2.2,,,,,12.25,25490,0.6,8.68,10.39,11.63,14.19,15.11,18050,21610,24180,29510,31420,,
260,Animal Caretakers,1.0,Animal Caretakers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,39-2021,Animal Caretakers,detailed,225680.0,1.4,,,,,14.19,29520,0.5,10.28,11.13,13.75,14.96,18.63,21380,23160,28600,31130,38750,,
261,"Ushers, Lobby Attendants, and Ticket Takers",1.0,"Ushers, Lobby Attendants, and Ticket Takers",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detailed,54970.0,3.1,,,,,12.69,26390,1.2,8.65,9.93,11.75,14.31,17.56,17990,20650,24440,29750,36530,,
262,Amusement and Recreation Attendants,1.0,Amusement and Recreation Attendants,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,39-3091,Amusement and Recreation Attendants,detailed,262170.0,2.3,,,,,12.55,26110,0.4,8.67,10.43,11.78,14.17,16.91,18030,21700,24500,29480,35170,,
263,Proofreaders and Copy Markers,1.0,Proofreaders and Copy Markers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,43-9081,Proofreaders and Copy Markers,detailed,5340.0,6.8,,,,,22.12,46010,2.1,14,16.48,21.12,27.53,29.93,29120,34270,43940,57260,62260,,
264,Sheet Metal Workers,1.0,Sheet Metal Workers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,47-2211,Sheet Metal Workers,detailed,122630.0,2.2,,,,,28.25,58760,0.9,16.56,18.85,25.69,36.02,45.68,34450,39200,53440,74920,95010,,
265,Bicycle Repairers,1.0,Bicycle Repairers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,49-3091,Bicycle Repairers,detailed,14760.0,5.1,,,,,16.52,34360,0.8,12,14,16.68,18.23,22.22,24960,29120,34690,37920,46210,,
266,"Education and Childcare Administrators, Preschool and Daycare",1.0,"Education and Childcare Administrators, Preschool and Daycare",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,56430.0,2.7,,,,,25.87,53800,0.9,15,17.88,22.75,28.85,37.67,31200,37200,47310,60010,78350,,
